Hardware S/N,Dongle S/N,Software,Hardware Model,HA/HOT BACKUP,Protected Bitrate,Stream Gates,Invoice number,Invoice date,Partner name,Region,Customer Name,Region,Full Address,Support Plan,Starting Date,Valid Until,Software,Hardware, P.B ,SG, Hot backup ,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8012,,DVP,DVA100,N/A,0,N/A,VF20098,,Euplink,France,Canal Plus,France,,,,,$700.00,$770.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8324,,DVP,DVA100,N/A,0,N/A,VF20046,,Euplink,France,Canal Plus,France,,,,,$700.00,$770.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8528,42515c48434b0105060453434f50555312101017,DVP,DVX100,N/A,2,N/A,INV22017,,Euplink,France,Canal Plus,France,,Platinum,16 Mar 2022,21 Sep 2024,$700.00,$654.50, 315.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8529,,DVP,DVX100,N/A,2,N/A,INV22017,,Euplink,France,Canal Plus,France,,,,,$700.00,$654.50, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8740,40575e4444460b06001753434f50555312101017,DVG,DVL202,N/A,,14,INV22054_INV22029_IN22107,25/04/22_09/08/22,HVS_Heartland Video Systems,USA,KSLA,USA,1812 Fairfield AvenueShreveport,Gold,9 Aug 2022,8 Aug 2023,$875.00,"$1,579.00", -   ,"$2,800.00"," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8741,42555d444c4b0401030e53434f50555312101017,DVG,DVL202,YES,,14,INV22054_INV22029_IN22108,25/04/22_09/08/22,HVS_Heartland Video Systems,USA,KSLA,USA,1812 Fairfield AvenueShreveport,Gold,9 Aug 2022,8 Aug 2023,$875.00,"$1,579.00", -   ,"$2,800.00"," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8742,41535d434d440105070153434f50555312101017,DVG,DVL202,YES,0,8,INV22057/INV22029,5 11 2022,HVS_Heartland Video Systems,USA,KSHV,USA,3150 N Market St,Gold,5 Nov 2022,5 Nov 2023,$875.00,"$1,579.00", -   ,"$3,920.00"," 2,257.50 ",It has 2 invoices. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8743,4157564442400202041753434f50555312101017,DVG,DVL202,N/A,0,8,INV22057/INV22029,5 11 2022,HVS_Heartland Video Systems,USA,KSHV,USA,3151 N Market St,Gold,6 Nov 2022,6 Nov 2023,$875.00,"$1,579.00", -   ,"$3,920.00"," 2,257.50 ",It has 2 invoices. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8744,46565746474a0108051753434f50555312101017,DVG,DVL202,YES,0,12,INV22029_INV22061,27 05 2022,HVS_Heartland Video Systems,USA,WAVE-TV,USA,725 S FLOYD ST' KY Louisville,Gold,27 May 2022,26 May 2023,$875.00,"$1,579.00", -   ,$0.00," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8745,4b535f404c440109101753434f50555312101017,DVG,DVL202,YES,0,12,INV22029_INV22061,27 05 2022,HVS_Heartland Video Systems,USA,WAVE-TV,USA,725 S FLOYD ST' KY Louisville,Gold,27 May 2022,26 May 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8746,475b574342400101051753434f50555312101017,DVG,DVL202,YES,0,4,INV22029_INV22062,31 05 2022,HVS_Heartland Video Systems,USA,KSNW-TV ,USA,833 N MAIN ST' KS_WICHITA,Gold,31 May 2022,30 May 2023,$875.00,"$1,579.00", -   ,$490.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8747,4255574240460705090453434f50555312101017,DVG,DVL202,,0,0,INV22029_INV22063,31 05 2022,HVS_Heartland Video Systems,USA,KSNW-TV ,USA,834 N MAIN ST' KS_WICHITA,Gold,31 May 2022,30 May 2023,$875.00,"$1,579.00", -   ,$0.00," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8748,4255584242460707050553434f50555312101017,DVG,DVL202,,0,4,INV22029_INV22064,31 05 2022,HVS_Heartland Video Systems,USA,KSNW-TV ,USA,835 N MAIN ST' KS_WICHITA,Gold,31 May 2022,30 May 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8749,40525e4343430a09071753434f50555312101017,DVG,DVL202,,0,0,INV22029_INV22065,31 05 2022,HVS_Heartland Video Systems,USA,KSNW-TV ,USA,836 N MAIN ST' KS_WICHITA,Gold,31 May 2022,30 May 2023,$875.00,"$1,579.00", -   ,$0.00," 2,258.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
